,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,,,,
,,,,,,,,,,,,,,11,1,,,,,10,,,11,,,,
,,,,,,,,,,,,,,11,,,,,,,,,11,,,,
,,,,,,,,,,,,,,11,,,,,,,,,11,,,,
,,,,,,,,,,,,,,11,,,,,,,,,11,,,,
,,,,,,,,,,,,,,11,,,,,,,,,11,,,,
,,,,,,,,,,,,,,11,11,11,10,,,,11,11,11,,,,
,,,,,,,,,,,,,,,,11,,,,,11,,,,,,
,,,,,,,,,,,,,,,,11,,,,,11,,,,,,
,,,,,,,,,,,,11,11,11,11,,,,,,,11,11,11,11,,
,,,,,,,,,,,,11,10,,,,2,,,,,10,,,11,,
,,,,,,,,,,,,11,,,,,,,,,,,,,11,,
,,,,,,,,,,,,11,,,,,,,,,,,,,11,,
,,,,,,,,,,,,,,,,,2,,,,,,,,,,
,,,,,,,,,,11,11,11,11,11,11,,,,,,,11,11,11,11,11,11
,,,,,,,,,,9,,,9,,,,,,,,,9,,,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,11,11,11,11,11,11,,,,,,,11,11,11,11,11,11
,,,,,,,,,,,,,,,,,3,,,,,,,,,,
,,,,,,,,,,,,11,8,,,,,,,,,8,,,11,,
,,,,,,,,,,,,11,,,,,,,,,,,,,11,,
,,,,,,,,,,,,11,,,,,3,,,,,,,,11,,
,,,,,,,,,,,,11,11,11,11,,,,,,,11,11,11,11,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
