,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,3,,,,,,,3,,,11,,,,
,,,,,,,,,,,,,,,11,,,,,,,,,,,11,,,,
,,,,,,,,,,,11,11,11,11,11,,,,11,11,11,11,,,,11,11,11,11,11
,,,,,,,,,,,11,,,,,,,,1,,,,,,,,,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,,,12,,,,,,,,,,,12,,,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,,,,11,11,11,11,11,11,11,11,11,11,11,11,,,,11
,,,,,,,,,,,11,,,,12,,,2,,,2,,,12,,,,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,,,,,,,,15,,,,,,,,,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,,,,8,,,,,,,,,8,,,,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,8,,,,,,8,,,8,,,,,,8,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,11,11,11,,,,,,,,,,,,,11,11,11,11
