,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,10,,,1,,,,,10,,,,,,,
,,,,,,,,,,,,,2,,,11,,,,,,,,,,,,11,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,13,,,,,,,,13,,,,,,,
,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,9,,,
,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,15,,,,,,,,,,,,,,,,15,,,11
,,,,,,,,,,,,11,,,,,,,,,12,,,,,,,,,,,11
,,,,,,,,,,,,11,,,,,11,11,11,11,,,,11,11,11,11,,,,,11
,,,,,,,,,,,,11,,,,,14,,,,,,,,14,,,,,,,11
,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,11,,,,,,,,,12,,,,,,,,,,,11
,,,,,,,,,,,,11,11,11,11,11,8,,,,,,,,8,,,11,11,11,11,11
,,,,,,,,,,,,,,,,11,,,,,,,,,,,,11,,,,
,,,,,,,,,,,,,,,,11,,,,,,,,,,,,11,,,,
,,,,,,,,,,,,,,,,11,11,11,11,,,,,,11,11,11,11,,,,
