1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6,,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,,
,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,,,,11,,,,,1,,,,,,,,,11,,,
,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,3,,,11,,,,,,,,,,,,,,11,3,,
,,,,,,,,,,,,,,,11,6,,,,,,,,,,6,,,11,,,
,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,2,,,11,,,,13,,,,13,,,,,,11,2,,
,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,11,11,11,11,11,,,
,,,,,,,,,,,,,,8,,,,,,,,,,,,,,8,,,,
,,,,,,,,,,,,,,,,,,,12,,,,12,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
