2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,,
,,,,,,,,,,,,,,11,,,,,,1,,,,,,,,,,11,,,
,,,,,,,,,,,,,,11,,8,,,,,,,,,,8,,,,11,,,
,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,,11,10,,,11,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,,11,,,,11,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,,11,,,,11,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,,,11,,,11,3,,,9,,,2,,,11,,,11,,,
,,,,,,,,,,,,,,11,,,11,,,,,,,,,,11,,,11,,,
,,,,,,,,,,,,,,,,,11,,,,,,,,,,11,,,,,,
,,,,,,,,,,,,,,,,,11,2,,,15,,,3,,,11,,,,,,
,,,,,,,,,,,,,,,,,11,,,,,,,,,,11,,,,,,
,,,,,,,,,,,,,,,,,11,,,,,,,,,,11,,,,,,
,,,,,,,,,,,,,,11,11,,,,,,,,,,,,,,11,11,11,11,11
,,,,,,,,,,,,,,,11,,,,13,,,,13,,,,,,11,10,,,11
,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,11,,,,11
,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,11,,,,11
,,,,,,,,,,,,,,,11,12,,,,,,,,,,12,,,11,11,11,11,11
,,,,,,,,,,,,,,,11,,,,11,11,11,11,11,11,11,,,,11,,,,
,,,,,,,,,,,,,,,11,,,,11,,,,,,11,,,,11,,,,
