,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10,,,,,,,,10,,,,,,,
,,,,,,,,,,,,,11,,,,1,,,,,,,,11,,,,
,,,,,,,,,,,,,11,,,,,,,,,,,,11,,,,
,,,,,,,,,,,,,11,13,,,,,,,,13,,,11,,,,
,,,,,,,,,,,,,11,,,,,,,,,,,,11,,,,
,,,,,,,,,,,,,11,,,,,,,,,,,,11,,,,
,,,,,,,,,,,2,,,,,,,8,,,,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,3,,,9,,,,9,,,,9,,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,11,15,,,,12,,,,15,,,11,,,,
,,,,,,,,,,,,,11,,,,,,,,,,,,11,,,,
,,,,,,,,,,,,,11,,,,,,,,,,,,11,,,,
,,,,,,,,,,,,,11,,,,,,,,,,,,11,,,,
,,,,,,,,,11,8,,,11,14,,,,12,,,,14,,,11,8,,,11
,,,,,,,,,11,,,,11,,,,,,,,,,,,11,,,,11
,,,,,,,,,11,,,,11,,,,,,,,,,,,11,,,,11
,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,11,11,11,11,11
