,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
,,,,,,,,,,,11,1,,,,,,9,,,8,,,8,,,9,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,11,,,,,,,15,,,15,,,15,,,15,,,
,,,,,,,,,,,11,3,,,2,,,,,,,,,,,,,,,
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,8,,,8,,,11,10,,,10,,,11,11,11,11,11,11,
,,,,,,,,,,,,,,,,,11,,,,,,,11,,,,,,
,,,,,,,,,,,,,,,,,11,,,,,,,11,,,,,,
,,,,,,,,,,,15,,,15,,,11,15,,,15,,,11,,,,,,
,,,,,,,,,,,,,,,,,11,,,,,,,11,,,,,,
,,,,,,,,,,,,,,,,,11,,,,,,,11,,,,,,
