3,,,,,,,,,,,,,,
43,,,47,,,,,,,,,,,
43,,,47,,,,,,,,,,,
49,,47,47,,,,,,,,,,,
49,47,47,47,47,,,,47,47,47,46,43,43,7
49,47,47,47,47,47,47,47,47,47,47,46,43,7,7
49,47,,,,,47,47,47,47,47,46,43,7,7
49,,,,,,47,47,47,47,47,46,43,7,7
49,,,,,,47,47,47,47,47,46,,7,7
49,,,,,,,47,47,47,47,46,,,
49,,,,,,,,,46,47,46,,,
49,,,,,,,,,47,47,46,,,
49,,,,,,,47,47,47,47,46,,7,7
49,,,,,,47,47,47,47,47,46,,7,7
49,,,,,,47,47,47,47,47,46,43,7,7
49,47,,,,,47,47,47,47,47,46,43,7,7
49,47,47,47,47,47,47,47,47,47,47,46,43,7,7
49,,47,47,47,47,,,47,47,47,46,43,43,7
43,,47,47,,,,,,,,,,,
43,,,47,,,,,,,,,,,
43,,,47,,,,,,,,,,,
