2,,,,,,,,,,,,,,,,
,,,,,,,,,,47,47,47,,,,
,,,,,,,,,47,,,,47,,,
,,9,9,9,,,,47,,,47,47,,47,,
,9,11,11,9,,,47,,,47,,,47,,47,
9,11,11,11,,,,47,,47,,7,,,47,,47
9,9,11,11,11,11,11,11,47,,7,7,7,,47,,47
9,11,11,,,,,47,47,,7,,,,47,,47
,9,11,11,9,,,47,,47,,47,47,47,,47,
,,9,9,9,9,,,,,47,,,,47,,
,,,,,,,,,,,47,47,47,,,
,,,,,,,,,,47,47,47,,,,
,,,,,,,,,47,,,,47,,,
,,9,9,9,9,,,47,,,47,47,,47,,
,9,11,11,9,,,47,,,47,,,47,,47,
9,11,11,,,,,47,,47,,43,,,47,,47
9,9,11,11,11,11,11,11,47,,43,43,43,,47,,47
9,11,11,11,,,,47,47,,43,,,,47,,47
,9,11,11,9,,,47,,47,,47,47,47,,47,
,,9,9,9,,,,,,47,,,,47,,
,,,,,,,,,,,47,47,47,,,
