2,,,,,,,,,,,,,,,,
,,34,,,,,,34,,,,,,34,,
,,34,,,,,,34,,,,,,34,,
34,,34,,34,,34,,34,,34,,34,,34,,34
34,34,34,34,34,,34,34,34,34,34,,34,34,34,34,34
,34,34,34,,,,34,34,34,,,,34,34,34,
,,34,,,,,,34,,,,,,34,,
34,,34,,34,,34,,34,,34,,34,,34,,34
34,34,34,34,34,,34,34,34,34,34,,34,34,34,34,34
,34,34,34,,,,34,34,34,,,,34,34,34,
,,34,,,,,,34,,,7,,,34,,
,,34,,,43,,,34,,7,7,7,,34,,
,,34,,,,,,34,,,7,,,34,,
,,34,,,,,,34,,,,,,34,,
34,34,34,34,34,,34,34,34,34,34,,43,43,7,43,43
43,43,7,43,43,,43,34,34,34,43,,43,43,7,43,43
,7,7,7,,,,7,7,7,,,,7,7,7,
,,7,,,,,,7,,,,,,7,,
