3,,,,,,,,,,,,,,,,,,
,19,19,19,,,,,,,,,,,,,,,17
19,19,,,19,,,16,,,,,,,,,,17,17
19,19,19,,19,19,16,16,,,,,,,,,18,17,17
,19,19,19,19,16,16,,,,,,,,,18,18,17,17
,,19,19,16,16,16,,,,,,,,18,18,18,17,
,,,16,16,16,16,16,,,,,,18,18,18,18,,
,,16,16,,16,16,16,16,,,,18,18,18,18,,,
,,,,,,16,16,16,16,,18,18,18,18,,,,
,,,,,,,16,11,11,11,11,11,18,,,,,
,,,,,,,,11,11,11,11,11,,,,,,
,,,,,,,,11,11,11,11,11,,,,,,
,,,,,,,16,11,11,11,11,11,18,,,,,
,,,,,,16,16,16,16,,18,18,18,18,,,,
,,16,16,,16,16,16,16,,,,18,18,18,18,,,
,,,16,16,16,16,16,,,,,,18,18,18,18,,
,,19,19,16,16,16,,,,,,,,18,18,18,17,
,19,19,19,19,16,16,,,,,,,,,18,18,17,17
19,19,19,,19,19,16,16,,,,,,,,,18,17,17
19,19,,,19,,,16,,,,,,,,,,17,17
,19,19,19,,,,,,,,,,,,,,,17
