3,,,,,,,,,,,,,,,
,,,,,,,,7,7,,,,,49,
,,,,,,,7,7,7,7,,,49,49,49
,,46,43,,,,7,7,7,7,11,,,49,
,49,43,46,11,47,46,43,47,7,7,11,11,,,
46,49,47,43,11,43,47,46,46,7,7,11,11,11,,11
46,49,43,46,11,47,46,43,47,7,7,11,11,,,11
47,49,46,47,11,43,43,47,46,7,7,11,,,11,
,49,47,47,11,47,43,47,47,7,7,,,11,,
,,47,47,11,43,11,11,11,11,11,11,11,11,,
,,47,47,11,43,11,11,11,11,11,11,11,11,,
,49,47,47,11,47,43,47,46,7,7,,,11,,
47,49,47,47,11,43,46,43,47,7,7,11,,,11,
46,49,47,47,11,43,47,46,47,7,7,11,11,,,11
11,49,46,43,11,47,43,47,46,7,7,11,11,11,,11
,49,43,46,11,47,46,43,47,7,7,11,11,,,
,,46,47,,,,7,7,7,7,11,,,49,
,,,,,,,7,7,7,7,,,49,49,49
,,,,,,,,7,7,,,,,49,
