2,,,,,,,,,,,,,,,,
,,34,34,34,34,34,11,9,7,34,34,34,34,34,,
,,,34,34,34,34,11,9,7,34,34,34,34,,,
,,,,34,34,34,11,9,7,34,34,34,,,,
,,,,,34,34,11,9,7,34,34,,,,,
,,,,,,34,11,9,7,34,,,,,,
,,,,,,,11,9,7,,,,,,,
,,,,,,,43,43,43,,,,,,,
11,9,9,9,9,9,34,43,43,7,11,11,11,11,11,11,11
9,9,9,9,9,9,43,7,7,7,9,9,9,9,9,9,9
,11,11,11,11,11,34,34,43,7,34,11,11,11,11,11,
,34,34,34,34,34,34,43,43,43,7,7,7,7,7,,
,,,34,34,34,34,43,9,11,34,34,34,34,,,
,,,,34,34,34,43,9,11,34,34,34,,,,
,,,,,34,34,43,9,11,34,34,,,,,
,,,,,,34,43,9,11,34,,,,,,
,,,,,,,43,9,11,34,,,,,,
,,,,,,,,9,11,,,,,,,
