2,,,,,,,,,,
47,47,9,47,47,47,47,47,47,47,47
47,9,9,9,9,9,9,9,9,9,47
47,9,9,11,11,11,11,11,11,43,47
47,9,9,,,,,,43,11,47
47,9,9,,,,,43,11,11,47
47,9,46,,,,43,7,11,11,47
47,9,46,,,46,,7,7,11,47
47,9,46,,,46,43,7,7,11,47
47,9,46,,43,,43,7,7,11,47
47,9,46,43,46,46,,7,7,11,47
47,9,46,,43,,43,7,7,11,47
47,9,46,,,46,43,7,7,11,47
47,9,46,,,46,,7,11,11,47
47,9,46,,,,43,7,11,11,47
47,9,11,,,,,43,11,11,47
47,9,11,,,,,,43,11,47
47,9,11,11,11,11,11,11,11,43,47
47,9,11,9,9,9,9,9,9,47,47
47,47,11,47,47,47,47,47,47,47,47
