2,,,,,,,,,,,,,,,,,
47,,47,47,7,7,,,47,47,7,,,,47,47,7,7
47,47,,,,,,47,,,,,,47,,,,
47,,47,47,7,,,,47,47,7,,,,47,47,7,
47,,47,47,7,,,,47,47,7,,,,47,47,7,
49,47,,,,,,47,,,,,,47,,,,
49,,47,47,7,7,,,47,47,7,,,,47,47,7,7
49,47,,,,,,,,,,,,,,,,
49,43,43,43,,,,43,43,43,,,,43,43,43,,
49,,,46,46,,,,,46,46,,,,,46,46,
49,,,46,,46,,,,46,,47,,,,46,,43
49,,,46,,46,,,,46,,47,,,,46,,43
49,,,46,46,,,,,46,46,,,,,46,46,
49,43,43,43,,,,43,43,43,,,,43,43,43,,
49,47,,,,,,,,,,,,,,,,
47,47,47,47,47,7,,47,47,47,47,7,,47,47,47,7,7
47,,,47,,7,,,,47,,7,,,,47,,7
47,,47,47,,7,,,47,47,,7,,,47,47,,7
47,47,,47,47,7,,47,,47,47,7,,47,,47,7,7
