3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,46,46,,,,,,
,,,,,,,,,,9,,,11,11,,,,
,,,,,,,,,9,,,43,,,11,,,
,,,,,,,,9,,,46,46,11,11,,7,,
,,,,43,43,43,43,,9,,43,46,11,11,,7,,
,49,49,49,,,,,9,,,46,46,11,11,,7,,
49,,,,,43,43,43,9,1,,,,,,11,7,,
49,49,49,9,43,,,,,,,,,43,,,,7,
49,,,,,,,,,9,,46,46,46,,,7,7,7
49,49,49,49,43,43,43,43,9,9,,46,46,46,46,7,7,7,7
49,,,,,,,,,9,,46,46,46,,,7,7,7
49,49,49,9,43,,,,,,,,,,,,,7,
49,,,,,43,43,43,9,9,,,,43,,11,7,,
,49,49,49,,,,,9,,,46,46,11,11,,7,,
,,,,43,43,43,43,,9,,46,46,11,11,,7,,
,,,,,,,,9,,,46,46,11,11,,7,,
,,,,,,,,,9,,,43,,,11,,,
,,,,,,,,,,9,,,11,11,,,,
,,,,,,,,,,,46,46,,,,,,
