2,,,,,,,,,,,,,,,,
34,34,34,34,34,,34,34,34,34,34,,34,34,34,34,34
34,,,,,,34,,,,,,34,,,,
34,,,,,,34,,,,,,34,,,,
34,,,,,,34,,,,,7,34,,,,
,,,,,,,,,,7,7,7,,,,
,34,34,7,,,,34,34,34,,7,,34,34,34,
34,,,,7,,34,,,,7,,34,,,,7
34,,,,7,,34,,,,7,,34,,,,7
34,,,,7,,34,,,,7,,34,,,,7
,34,34,7,,43,,34,34,34,,46,,34,34,34,
,,,,43,43,43,,,,46,46,46,,,,
,,46,46,34,43,,,46,46,34,46,,,46,43,34
,43,,,,,,43,,,,,,43,,,
43,,,,,,43,,,,,,43,,,,
,43,,,,,,43,,,,,,43,,,
,,46,46,34,,,,46,46,34,34,,,46,34,34
,,,,,,,,,,34,34,34,,,,
34,34,34,34,7,,34,34,34,34,7,34,34,34,34,34,7
34,,34,,7,,34,,34,,7,,34,,34,,7
34,,34,,7,,34,,34,,7,,34,,34,,7
