2,,,,,,,,,,,,,,,,,,
,,,,,47,,,,,,,,,,47,,,
,,,46,,47,,46,,,47,,,46,,47,,46,
,,,,46,47,46,,,47,47,47,,,46,47,46,,
,,,46,,47,,46,,,47,,,46,,47,,46,
,,,,46,47,46,,,,,,,,46,47,47,,
,,,,,47,,,,,,47,,,,47,,,
,,,,,47,47,,,,47,47,47,,,47,47,,
,,,,47,47,,7,,,,47,,,47,47,,7,
,,,47,,47,,7,7,,,,,47,,47,,7,7
,,47,43,,47,,7,7,,,,47,43,,47,,7,7
,47,43,43,,47,,7,,,,47,43,43,,47,,7,
47,43,43,47,,47,7,,,,47,43,47,,,47,7,,
,47,43,43,,47,,7,,,,47,43,43,,47,,7,
,,47,43,,47,,7,7,,,,47,43,,47,,7,7
,,,47,,47,,7,7,,47,,,47,,47,,7,7
,,,,47,47,,47,,47,47,47,,,47,47,,7,
,,,,,47,47,,,,47,,,,,47,47,,
,,,,,47,,,,,,7,,,,47,,,
,,,,47,47,47,,,,7,7,7,,47,47,47,,
,,,,,47,,,,,,7,,,,47,,,
