3,,,,,,,,,,,,,,,,,,
47,47,47,47,47,47,47,47,49,49,49,49,11,9,9,9,9,9,7
47,,,,,,,49,,11,,,,,,,,,7
47,,,,,,49,49,49,11,,,,9,9,,,,7
47,,,,47,,,49,,11,,,,9,,9,,,7
47,,,47,47,47,,,,11,,,11,,,,9,,7
47,,,,47,,47,,,11,,,11,,9,9,,,7
47,,,,,47,,47,,11,,11,,9,,,,,7
47,,,,,,47,,49,11,11,,11,,,,,,7
47,,,,,,,47,,,,11,,,,,,,7
47,47,47,47,47,47,47,47,,,,11,11,9,9,9,9,7,7
47,,,,,,,47,,,,11,,,,,,,7
47,,,,,,47,,49,11,11,,11,,,,,,7
47,,,,,47,,47,,11,,11,,9,,,,,7
47,,,,47,,47,,,11,,,11,,9,9,,,7
47,,,47,47,47,,,,11,,,11,,,,9,,7
47,,,,47,,,49,,11,,,,9,,9,,,7
47,,,,,,49,49,49,11,,,,9,9,,,,7
47,,,,,,,49,,11,,,,,,,,,7
47,47,47,47,47,47,47,47,49,49,49,49,11,9,9,9,9,9,7
