3,,,,,,,,,,,,,,
49,9,9,9,11,11,9,9,9,46,43,11,11,11,11
49,,,,,,,,,,,,,,11
49,,43,43,46,,9,9,46,,43,11,11,11,11
49,,43,47,47,46,9,9,47,46,43,11,11,,11
49,,43,43,47,46,9,9,46,46,47,11,11,,11
49,,43,43,47,,9,9,46,,43,11,11,11,11
49,,,,,,,,,,,,,,11
49,,,,,,,,,,,,,,11
49,,46,47,47,,9,9,46,,43,11,11,11,11
49,,43,47,47,,9,9,47,46,43,43,11,,11
49,,47,47,47,,9,9,46,46,43,11,11,,11
49,,43,47,47,,9,9,47,,43,11,11,11,11
49,,,,,,,,,,,,,,11
49,,,,,,,,,,,,,,11
49,,47,46,47,,9,9,46,,43,11,11,11,11
49,,43,47,47,46,9,9,47,46,43,11,11,,11
49,,43,46,47,46,9,9,46,46,43,11,11,,11
49,,47,47,46,,9,9,46,,43,11,11,11,11
49,,,,,,,,,,,,,,11
49,9,9,11,11,11,9,9,9,46,43,11,11,11,11
