3,,,,,,,,,,,,
,,47,47,47,,,,47,47,47,,
,47,47,47,47,47,,47,47,47,47,47,
47,47,47,47,46,43,46,43,46,47,47,47,47
47,47,47,47,43,46,43,46,43,47,47,47,47
43,46,43,46,43,46,43,46,43,47,47,47,46
49,49,49,49,47,47,47,47,47,49,49,49,49
,,49,49,49,49,49,49,49,49,49,,
,,,49,49,49,49,49,49,49,,,
,,,,49,,,,49,,,,
,,,,49,49,,49,49,,,,
,,,,49,49,46,49,49,,,,
,,,,49,43,11,43,49,,,,
,,,49,49,,,,49,49,,,
,,46,46,46,46,46,46,46,46,46,,
,46,46,46,46,46,43,46,46,46,46,46,
43,43,43,43,43,43,43,43,43,43,43,43,43
43,43,11,11,11,11,11,11,11,11,11,43,43
11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11
,,11,11,,,,,,11,11,,
