2,,,,,,,,,,,,,,,,
,,,,,,,34,34,34,,,,,,,
,,,,,,34,34,34,34,34,,,,,,
,,,,,34,34,34,34,34,34,34,,,,7,
,,,,34,34,34,34,34,34,34,34,34,,7,7,7
,,,34,34,34,34,34,34,34,34,34,34,,,7,
,,34,34,34,34,34,34,34,34,34,34,,,,,
,34,34,34,34,34,34,7,7,7,34,,,,,,
34,34,34,34,34,34,7,7,7,7,,,,,34,,34
,34,34,34,34,34,34,7,7,7,34,,,,,,
,,34,34,34,34,34,34,34,34,34,34,,,,,
,,,34,34,34,34,34,34,34,34,34,34,,,7,
,,,,34,34,34,34,34,34,34,34,34,,7,7,7
,,,,,34,34,34,34,34,34,34,,,,7,
,,,,,,34,34,34,34,34,,,,,,
,,,,,,,34,34,34,,,,,,,
