3,,,,,,,,,,,,,,,,,,,
,,,,,,,,43,43,43,43,,,,,,,,
,,,,,,,43,34,34,43,46,9,,,,,,,
,,,,,,43,34,34,34,43,46,46,9,,,,,,
,,,,,43,34,34,34,34,43,46,9,9,,,,,,
,,,,43,34,34,34,34,34,43,46,9,9,,,,,,
,,,,34,34,34,34,34,34,43,46,9,9,11,11,11,11,,
,,,34,34,34,34,34,34,34,43,46,9,11,11,11,11,11,11,
,,34,34,34,34,34,34,34,,34,46,,,,,,,11,
,34,34,34,34,,,,34,,34,,,,,,,,,43
34,34,,,,,,,,,34,,,,,,,,,43
,34,34,34,34,,,,34,,34,,,,,,,,,43
,,34,34,34,34,34,34,34,,34,46,,,,,,,11,11
,,,34,34,34,34,34,34,34,43,46,9,,,,,,11,11
,,,43,34,34,34,34,34,34,43,46,9,9,,,11,11,11,
,,,,43,34,34,34,34,34,43,46,9,9,,,11,11,,
,,,,,43,34,34,34,34,43,46,9,9,,,,,,
,,,,,,43,34,34,34,43,46,9,,,,,,,
,,,,,,,43,34,34,43,46,9,,,,,,,
,,,,,,,,43,43,9,9,,,,,,,,
