3,,,,,,,,,,,,,,,
,,,,,,34,34,34,34,34,34,,,,
,,,,43,34,34,34,34,34,34,,,,,
,,34,34,43,34,34,34,34,,,,,,,
,34,34,34,43,34,34,34,,,,,,,,
34,34,34,34,43,34,,,,,,,,,,
34,34,34,34,43,,,46,46,46,46,,,,,
34,34,34,34,43,,,,46,46,46,46,46,7,,
,34,34,34,43,,,,,,46,46,46,7,7,
,34,34,34,43,34,,,,,,46,46,7,7,7
,,34,34,43,34,34,,,,,,43,43,7,7
,,,34,43,34,34,34,,,,,46,43,7,7
,,,,34,34,34,34,34,34,,,43,43,7,7
,,,,,,,,,,,34,34,7,7,7
,,,,,,,,,,34,34,34,7,7,
,,,,,,,34,34,34,34,34,34,7,7,
,,,,,,34,34,34,34,34,34,34,7,,
,,,,,34,34,34,34,34,34,34,,,,
,,,,34,34,34,34,34,34,34,,,,,
