2,,,,,,,,,,,,,,,,,,,
56,,56,,56,,56,,,54,54,,,53,,,,56,,56
,56,,56,,56,,56,,,,54,,54,,,53,,,
,,,,,,,,,56,,54,,54,53,53,53,53,,
55,55,55,55,55,55,55,55,55,55,54,54,54,54,53,53,54,53,53,53
,,,,,,,,,,,54,,54,53,53,53,53,,
56,,56,,56,,56,,56,,,54,,54,,,53,,,
,,,,,,55,,,54,54,,,54,,56,,,,56
,56,,55,,,54,,55,,,56,56,56,,,56,,56,
,,55,55,55,55,54,,55,,,,,,,,,56,,
55,55,55,55,55,55,54,55,55,55,54,54,54,53,53,53,53,53,53,53
,,55,55,55,55,54,,55,,,,,,,,,56,,
,,,55,,,54,,55,,,56,56,56,,,56,,56,
,56,,,,,54,,,54,54,,,53,,56,,,,56
56,,56,,56,,56,,56,,,54,,54,,,53,,,
,,,,,,,,,,,54,,54,53,53,53,53,,
55,55,55,55,55,55,55,55,55,55,54,54,54,54,53,53,54,53,53,53
,,,,,,,,,56,,54,,54,53,53,53,53,,
,56,,56,,56,,56,,,,54,,54,,,53,,,
56,,56,,56,,56,,,54,54,,,53,,,,56,,56
