2,,,,,,,,,,,,,,,,,,
55,55,55,55,55,55,55,,,,,53,,,,,,,
,,,,,,52,,,,53,,53,,,,,,
,,,,,,,,,53,,54,,53,,,,,
,,,,,,52,,53,,54,,54,,53,,53,,
52,52,52,52,52,52,55,53,,54,,,,54,,53,54,53,53
,,,,,,52,,53,,54,,54,,53,,53,,
,,,,,,,,,53,,54,,53,,,,,
,,,,,,52,,,,53,,53,,,,,,
55,55,55,55,55,55,55,,,,,53,,,,,,,


55,55,55,55,55,55,55,,,,,53,,,,,,,
,,,,,,52,,,,53,,53,,,,,,
,,,,,,,,,53,,54,,53,,,,,
,,,,,,52,,53,,54,,54,,53,,53,,
52,52,52,52,52,52,55,53,,54,,,,54,,53,54,53,53
,,,,,,52,,53,,54,,54,,53,,53,,
,,,,,,,,,53,,54,,53,,,,,
,,,,,,52,,,,53,,53,,,,,,
55,55,55,55,55,55,55,,,,,53,,,,,,,
