2,,,,,,,,,,,,,,,,,,
,,55,55,,,,,,,,,,,,,,,
,55,,,56,,,,,,,,,,,,,,
55,,,,,56,,,53,,,,,,,,,,
55,,,,,56,,53,,53,,,,,,,,,
55,,,52,,53,53,,,,53,,,,,,,,
55,52,52,52,52,53,,,54,,,53,,,,,,,
55,,,52,,54,53,54,54,54,,,53,,,,,,
55,,,52,,54,53,,54,,,54,,53,,,,,
55,52,52,52,52,54,53,,,,54,54,54,,53,53,53,,
56,,,52,,54,53,,54,,,54,,53,,,,53,
56,,,52,,54,53,54,54,54,,,53,,,,,,53
56,52,52,52,52,53,,,54,,,53,,,,,,,
56,,,52,,53,53,,,,53,,,,,,,,
56,,,,,53,,53,,53,,,,,,,,,
56,,,,,53,,,53,,,,,,,,,,
,53,,,53,,,,,,,,,,,,,,
,,53,56,,,,,,,,,,,,,,,
