,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,,,9,,,,9,,,,9,,,14,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,10,,
,,,,,,,,,,,,10,,,,,11,1,,,,,11,,,10,,,,,
,,,,,,,,,,,,,,,,,11,,,,,,11,,,,,,,,
,,,,,,,,,12,,,,,,,,11,,,,,,11,,,,,,12,,
,,,,,,,,,,,,,,,,,11,,,,,,11,,,,,,,,
,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,
,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,
,,,,,,,,,,,,,,,,,,11,9,,,11,,,,,,,,,
,,,,,,,,,,,,8,,,8,,,11,,,,11,8,,,8,,,,,
,,,,,,,,,2,,,,,,,,,11,,,,11,,,,,,,2,,
,,,,,,,,,,,,,,,,,,11,,,,11,,,,,,,,,
,,,,,,,,,,,,11,11,11,11,11,11,11,,,,11,11,11,11,11,11,11,,,
