,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11,11,11,11,11,11,11,,,,
,,,,,,,,,,11,11,11,11,11,1,,,,,11,11,11,11,11
,,,,,,,,,,11,8,,,11,,,,,,11,8,,,11
,,,,,,,,,,11,,,,11,,,,,,11,,,,11
,,,,,,,,,,11,,,,11,,,,,,11,,,,11
,,,,,,,,,,,13,,,11,,,,,,11,13,,,
,,,,,,,,,,,,,,11,11,11,11,11,11,11,,,,
,,,,,,,,,,,,,,5,,,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,10,,,12,,,,12,,,14,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,6,,,2,,,,6,,,6,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,11,11,11,11,,11,11,11,11,11,,
,,,,,,,,,,,,11,8,,,11,,11,8,,,11,,
,,,,,,,,,,,,11,,,,11,,11,,,,11,,
,,,,,,,,,,,,11,,,,11,,11,,,,11,,
,,,,,,,,,,,,11,11,11,11,11,,11,11,11,11,11,,
