,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
,,,,,,,11,9,,,,10,,,,8,,,,8,,,,8,,
,,,,,,,11,,,,,,,,,,,,,,,,,,,
,,,,,,,11,,,,,,,,,,,,,,,,,,,
,,,,,,,11,,,,,,,,,,,,,,,,,,,
,,,,,,,11,12,,,,12,,,,12,,,,8,,,,8,,
,,,,,,,11,,,,,,,,,,,,,,,,,,,
,,,,,,,11,,,,,,,,,,,,,,,,,,,
,,,,,,,11,,,,,,,,,,,,,,,,,,,
,,,,,,,11,1,,,,,11,,,9,,,,3,,,,2,,
,,,,,,,11,,,,,,11,,,,,,,,,,,,,
,,,,,,,11,,,,,,11,,,,,,,,,,,,,
,,,,,,,11,,,,,,11,,,,,,,,,,,,,
,,,,,,,11,,,,,,11,,,9,,,,3,,,,2,,
,,,,,,,11,11,11,11,11,11,11,,,,,,,,,,,,,
,,,,,,,,,,,11,,,,,,,,,,,,,,,
,,,,,,,,,,,11,,,,,,,,,,,,,,,
,,,,,,,,,,,11,9,,,11,9,,,11,13,,,,13,,
,,,,,,,,,,,11,,,,11,,,,11,,,,,,,
,,,,,,,,,,,11,,,,11,,,,11,,,,,,,
