,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,,,,,,
,,,,,,,,,,,,,,,,11,1,,,,,11,,,,,,
,,,,,,,,,,,,,,,,11,,,,,,11,,,,,,
,,,,,,,,,,,,,,,,11,,,,,,11,,,,,,
,,,,,,,,,,,,,,,,11,,,,,,11,,,,,,
,,,,,,,,,,,,,,,,11,,,,,,11,,,,,,
,,,,,,,,,,11,11,11,11,11,11,,,,,,,,11,11,11,11,11,11
,,,,,,,,,,11,8,,,10,,,,8,,,,10,,,8,,,11
,,,,,,,,,,11,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,11,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,11,2,,,12,,,,8,,,,12,,,2,,,11
,,,,,,,,,,11,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,11,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,11,,,,,,,,12,,,,,,,,,,11
,,,,,,,,,,11,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,11,9,,,3,,,,,,,,3,,,9,,,11
,,,,,,,,,,11,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,11,,,,,,,,8,,,,,,,,,,11
,,,,,,,,,,11,12,,,,,,,,,,,,,,12,,,11
,,,,,,,,,,11,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,11,,,,,,,,8,,,,,,,,,,11
,,,,,,,,,,,,,,,11,11,11,,,,11,11,11,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,12,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
