,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,11,1,,,,,11,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,11,,,,,,11,,,,,,,,,,,,
,,,,,,,,,,,10,,,11,,8,,,,,,,,8,,,,11,10,,,,,,,
,,,,,,,,,,,,,,11,,,,,,,,,,,,,,11,,,,,,,,
,,,,,,,,,,,,,,11,,,,,,,,,,,,,,11,,,,,,,,
,,,,,,,,,11,11,11,11,11,11,,11,11,11,,,,,,11,11,11,,11,11,11,11,11,11,,,
,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,11,,,
,,,,,,3,,,11,,,,,,,,,,,8,,,,,,,,,,,,,11,3,,
,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,11,,11,9,,,11,,,,,,,,,,,,11,9,,,11,,11,,,
,,,,,,,,,11,,11,,,,11,,,,,,,,,,,,11,,,,11,,11,,,
,,,,,,,,,11,,11,,,,11,,2,,,13,,,2,,,,11,,,,11,,11,,,
,,,,,,3,,,11,,,,,,,,,,,,,,,,,,,,,,,,11,3,,
,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,11,,11,13,,,11,,,,,,,,,,,,11,13,,,11,,11,,,
,,,,,,,,,11,,11,,,,11,9,,,,,,,,9,,,11,,,,11,,11,,,
,,,,,,,,,11,,11,,,,11,,,,,,,,,,,,11,,,,11,,11,,,
,,,,,,,,,11,,,,,,11,,,,,,,,,,,,11,,,,,,11,,,
,,,,,,,,,11,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,,,,,,11,,,
,,,,,,,,,11,,11,14,,,15,,,,,,,,,,15,,,14,,,11,,11,,,
,,,,,,,,,11,,11,,,,,,,,,,,,,,,,,,,,11,,11,,,
,,,,,,,,,11,,11,,,,,,,,,,,,,,,,,,,,11,,11,,,
,,,,,,,,,11,,11,,,,,,,,,,,,,,,,,,,,11,,11,,,
