,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,,,,,,,,
,,,,,,,,,,,,,,,,11,1,,,,,11,,,,,,,,
,,,,,,,,,,,,,,,,11,,,,,,11,,,,,,,,
,,,,,,,,,,,,,,,,11,,,,,,11,,,,,,,,
,,,,,,,,,,,,,,,,11,,,,,,11,,,,,,,,
,,,,,,,,8,,,11,11,11,11,11,11,,,,,,11,11,11,11,11,11,8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,,,,,,9,,,,,,,,,
,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,11,11,11,11,,,,,,11,11,11,11,,,,,
,,,,,,,,,,,,,11,10,,,,,,,,10,,,11,,,,,
,,,,,,,,2,,,11,,11,,,,11,11,11,11,11,,,,11,,11,2,,
,,,,,,,,,,,11,,11,,,,,,,,,,,,11,,11,,,
,,,,,,,,,,,11,,,,,,,,,,,,,,,,11,,,
,,,,,,,,8,,,11,5,,,9,,,,,,9,,,5,,,11,8,,
,,,,,,,,,,,11,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,11,,,,,,,,,,,,,,,,11,,,
,,,,,,,,11,11,11,11,11,11,11,11,11,11,,,,11,11,11,11,11,11,11,11,11,11
