1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
,,,,,,,,,,,,11,3,,,,,,,,,,,,,,,,3,,,11
,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,11,,,,,,11,11,11,11,11,11,11,11,11,,,,,,11
,,,,,,,,,,,,11,,,,,,11,,,,,,,,11,,,,,,11
,,,,,,,,,,,,11,,,,,,11,,1,,,,,,11,,,,,,11
,,,,,,,,,,,,11,2,,,8,,,,,,,,,,8,,,2,,,11
,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,11,,,,,,11,,,,,,,,11,,,,,,11
,,,,,,,,,,,,11,,,,,,11,,,,,,,,11,,,,,,11
,,,,,,,,,,,,11,,,,,,11,11,11,11,11,11,11,11,11,,,,,,11
,,,,,,,,,,,,11,,,13,,,,,,14,,,,,,13,,,,,11
,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,11,,,,,,9,,,,,,9,,,,,,,,11
,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,11,11,11,11,11
,,,,,,,,,,,,,,,,11,,,,,,,,,,,,11,,,,
,,,,,,,,,,,,,,,,11,,,,,,,,,,,,11,,,,
,,,,,,,,,,,,,,,,11,11,11,11,,,,,,11,11,11,11,,,,
,,,,,,,,,,,,,,,,,,,11,,,,,,11,,,,,,,
