2,,,,,,,,,,,,,,,,,,,
,,56,55,55,56,55,55,55,56,55,55,55,56,55,55,56,55,55,56
,,,,,,,,,,,,,,,,,54,,55
55,,55,,55,,53,53,53,53,53,,,,54,54,54,54,54,56
56,,56,,54,,53,53,53,53,53,53,53,54,54,,,54,,55
55,,55,,55,,53,53,53,53,53,,,53,,,54,,,56
,,,,,,,56,,56,,56,,,,54,,,,55
,,,,,,56,,56,,56,,56,,,,,54,,56
55,,55,,55,,53,53,53,53,53,,,,54,54,54,54,54,55
56,,56,,54,,53,53,54,53,53,53,53,54,54,,,54,,56
55,,55,,55,,53,53,53,53,53,,,53,,,54,,,55
,,,,,,56,,56,,56,,56,,,54,,,,56
,,,,,,,56,,56,,56,,,,,,54,,55
55,,55,,55,,53,53,53,53,53,,,,54,54,54,54,54,56
56,,56,,54,,53,53,53,53,53,53,53,54,54,,,54,,55
55,,55,,55,,53,53,53,53,53,,,53,,,54,,,56
,,,,,,,,,,,,,,,54,,,,55
,,56,55,55,56,55,55,55,56,55,55,55,56,55,55,56,55,55,56
