Id,BuildingLevel,SoldierCount
1,1,3
2,1,1
3,1,2
4,1,3
5,1,4
6,1,5
7,1,5
8,1,5
9,1,5
10,1,5
11,1,6
12,1,6
13,1,6
14,1,6
15,1,6
16,1,6
17,1,6
18,1,6
19,1,6
20,1,6
21,2,7
22,2,7
23,2,7
24,2,7
25,2,7
26,2,7
27,2,7
28,2,7
29,2,7
30,2,7
31,2,8
32,2,8
33,2,8
34,2,8
35,2,8
36,2,8
37,2,8
38,2,8
39,2,8
40,2,8
41,2,8
42,2,8
43,2,8
44,2,8
45,2,8
46,2,8
47,2,8
48,2,8
49,2,8
50,2,8
51,2,9
52,2,9
53,2,9
54,2,9
55,2,9
56,2,9
57,2,9
58,2,9
59,2,9
60,2,9
61,2,9
62,2,9
63,2,9
64,2,9
65,2,9
66,2,9
67,2,9
68,2,9
69,2,9
70,2,9
71,2,10
72,2,10
73,2,10
74,2,10
75,2,10
76,2,10
77,2,10
78,2,10
79,2,10
80,2,10
81,2,10
82,2,10
83,2,10
84,2,10
85,2,10
86,2,10
87,2,10
88,2,10
89,2,10
90,2,10
91,2,10
92,2,10
93,2,10
94,2,10
95,2,10
96,2,10
97,2,10
98,2,10
99,2,10
100,2,10
