2,,,,,,,,,,,,,,,,,,,
,,,,,,,28,,28,,28,,,,,,,,
,,,,,,,,28,,28,,,,,,,,,
28,,,,,,,,,28,,,,,,,,,,28
,28,,,,,,27,,27,,27,,,,,,28,,
28,,28,,,,,,27,,27,,,,,,,,,
,28,,28,,,,,,27,,,,,,28,,,,
,,28,,28,,,,27,27,27,,,,,,,,,29
28,,,28,,28,,,,27,,,,28,,29,,,29,
,28,,,28,,27,,29,29,29,,29,,29,,,29,,
28,,28,28,,27,27,27,29,28,29,29,29,29,,29,29,,,
,28,,,28,,27,,29,29,29,,29,,29,,,29,,
28,,,28,,28,,,,27,,,,28,,29,,,29,
,,28,,28,,,,27,27,27,,,,,,,,,29
,28,,28,,,,,,27,,,,,,28,,,,
28,,28,,,,,,27,,27,,,,,,,,,
,28,,,,,,27,,27,,27,,,,,,28,,
28,,,,,,,,,28,,,,,,,,,,
,,,,,,,,28,,28,,,,,,,,,28
,,,,,,,28,,28,,28,,,,,,,,
,,,,,,,,,,,,,,,,,,,
